Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Osage, MO	29151	0	44732	0000	0000	0	46542	0000	0000	0	47420	0000	0000	0	44598	0000	0000	0	1075	0000	0000	0	993	0000	0000	0	1049	0000	0000	0	1006	0000	0000	0	946	0000	0000	0	997	0000	0000
Ozark, MO	29153	0	29477	0000	0000	0	29663	0000	0000	0	30427	0000	0000	0	28224	0000	0000	0	2174	0000	0000	0	2128	0000	0000	0	2043	0000	0000	0	1946	0000	0000	0	1879	0000	0000	0	1921	0000	0000
Pemiscot, MO	29155	0	26202	0000	0000	0	26312	0000	0000	0	27188	0000	0000	0	27127	0000	0000	0	6965	0000	0000	0	6106	0000	0000	0	5734	0000	0000	0	5097	0000	0000	0	4605	0000	0000	0	4659	0000	0000
Perry, MO	29157	0	42576	0000	0000	0	44053	0000	0000	0	42125	0000	0000	0	40014	0000	0000	0	1799	0000	0000	0	1723	0000	0000	0	1631	0000	0000	0	1621	0000	0000	0	1495	0000	0000	0	1589	0000	0000
Pettis, MO	29159	0	35517	0000	0000	0	36899	0000	0000	0	39787	0000	0000	0	36591	0000	0000	0	5210	0000	0000	0	4924	0000	0000	0	5011	0000	0000	0	4902	0000	0000	0	4675	0000	0000	0	4947	0000	0000
Phelps, MO	29161	0	38250	0000	0000	0	36318	0000	0000	0	37080	0000	0000	0	38126	0000	0000	0	6061	0000	0000	0	5721	0000	0000	0	5318	0000	0000	0	5492	0000	0000	0	5333	0000	0000	0	5630	0000	0000
Pike, MO	29163	0	37496	0000	0000	0	40079	0000	0000	0	39524	0000	0000	0	38971	0000	0000	0	2594	0000	0000	0	2198	0000	0000	0	2224	0000	0000	0	2353	0000	0000	0	2380	0000	0000	0	2539	0000	0000
Platte, MO	29165	0	63158	0000	0000	0	64387	0000	0000	0	67134	0000	0000	0	65877	0000	0000	0	3386	0000	0000	0	3453	0000	0000	0	3380	0000	0000	0	3616	0000	0000	0	3161	0000	0000	0	3642	0000	0000
Polk, MO	29167	0	33721	0000	0000	0	35160	0000	0000	0	38314	0000	0000	0	35652	0000	0000	0	4288	0000	0000	0	4089	0000	0000	0	3919	0000	0000	0	3854	0000	0000	0	3792	0000	0000	0	4028	0000	0000
Pulaski, MO	29169	0	40904	0000	0000	0	42011	0000	0000	0	44540	0000	0000	0	45073	0000	0000	0	5355	0000	0000	0	4956	0000	0000	0	4499	0000	0000	0	4305	0000	0000	0	4332	0000	0000	0	4559	0000	0000
